City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,tshabong,-26.05,22.45,5.16,68,100,4.5,BW,1693013684
169,mount isa,-20.7333,139.5,26.87,26,0,5.14,AU,1693013685
170,bargaal,11.2864,51.0773,28.02,65,94,8.12,SO,1693013686
171,huarmey,-10.0681,-78.1522,19.58,85,70,4.41,PE,1693013688
172,egilsstadir,65.2653,-14.3948,10.95,71,0,2.06,IS,1693013689
173,san antonio de pale,-1.4014,5.6325,23.4,90,76,3.79,GQ,1693013690
174,uturoa,-16.7333,-151.4333,25.99,81,21,8.21,PF,1693013691
175,ancud,-41.8697,-73.8203,4.91,83,12,3.33,CL,1693013692
176,turkmenbasy,40.0222,52.9552,22.43,73,75,4.12,TM,1693013695
177,ellettsville,39.2339,-86.625,29.28,80,0,0.0,US,1693013697
178,san patricio,28.017,-97.5169,30.97,70,0,4.99,US,1693013698
179,champerico,14.3,-91.9167,27.86,78,100,2.32,GT,1693013699
180,montes claros,-16.735,-43.8617,25.88,50,0,1.54,BR,1693013700
181,pazarcik,37.4869,37.2996,24.11,48,0,2.62,TR,1693013701
182,nikolayevsk-on-amure,53.1406,140.73,16.96,48,100,2.06,RU,1693013653
183,orapa,-21.2833,25.3667,19.44,20,49,2.17,BW,1693013704
184,kingston,17.997,-76.7936,28.53,94,20,4.63,JM,1693013705
185,guerrero negro,27.9769,-114.0611,21.14,81,26,7.72,MX,1693013706
186,tralee,52.2704,-9.7026,12.43,92,22,4.03,IE,1693013707
187,koungou,-12.7336,45.2042,24.84,83,0,3.09,YT,1693013708
188,ode,7.7899,5.7117,21.78,98,100,2.23,NG,1693013709
189,karelichy,53.5653,26.1378,16.23,71,100,3.05,BY,1693013711
190,kavarna,43.4333,28.3333,22.54,98,0,2.23,BG,1693013712
191,broken hill,-31.95,141.4333,21.71,22,1,3.53,AU,1693013494
192,santa rosa,14.3122,121.1114,30.62,83,100,7.03,PH,1693013333
193,saipan,15.1355,145.701,27.58,100,75,1.54,MP,1693013680
194,khajuraho group of monuments,24.85,79.9333,25.35,78,100,3.79,IN,1693013716
195,cannonvale,-20.2833,148.7,22.66,62,0,8.06,AU,1693013718
196,al mutayrifi,25.4788,49.5576,35.19,14,96,4.86,SA,1693013719
197,illizi,26.4833,8.4667,30.89,26,13,2.08,DZ,1693013720
198,nuuk,64.1835,-51.7216,7.92,88,100,12.04,GL,1693013721
199,fang,19.9169,99.2145,23.35,99,100,0.95,TH,1693013468
200,hadibu,12.65,54.0333,26.32,84,72,7.88,YE,1693013723
201,penzance,50.1186,-5.5371,14.38,82,53,8.16,GB,1693013725
202,nyrob,60.733,56.7202,5.95,99,100,1.59,RU,1693013726
203,rovaniemi,66.5,25.7167,12.67,82,0,0.51,FI,1693013727
204,namtsy,62.7161,129.6658,12.49,69,100,2.98,RU,1693013728
205,sawakin,19.1059,37.3321,30.45,78,60,1.64,SD,1693013729
206,jamestown,42.097,-79.2353,20.77,97,100,1.54,US,1693013731
207,rawson,-43.3002,-65.1023,7.44,49,29,4.49,AR,1693013732
208,lompoc,34.6391,-120.4579,27.1,81,0,8.05,US,1693013733
209,mossel bay,-34.1831,22.146,9.96,69,100,13.62,ZA,1693013734
210,mahina,-17.5065,-149.489,28.87,65,40,3.09,PF,1693013735
211,zaozersk,69.4005,32.4476,8.51,81,100,2.58,RU,1693013736
212,wanning,18.8003,110.3967,31.94,61,94,4.14,CN,1693013738
213,ovalle,-30.5983,-71.2003,14.34,62,58,1.31,CL,1693013739
214,yeniseysk,58.4497,92.1703,17.18,92,100,2.78,RU,1693013741
215,colonia,50.9333,6.95,18.87,80,75,5.14,DE,1693013742
216,zhezqazghan,47.7833,67.7667,10.32,57,0,4.0,KZ,1693013743
217,merizo village,13.2658,144.6691,31.85,83,100,10.24,GU,1693013744
218,moose jaw,50.4001,-105.5344,20.14,45,0,1.54,CA,1693013745
219,dzuunharaa,48.8523,106.4579,12.81,94,100,1.54,MN,1693013746
220,pueblo nuevo,23.3833,-105.3833,16.87,93,64,1.21,MX,1693013748
221,katsuura,35.1333,140.3,29.25,70,5,4.51,JP,1693013494
222,keelung,25.1283,121.7419,32.83,75,11,5.45,TW,1693013504
223,inhambane,-23.865,35.3833,22.23,70,63,6.14,MZ,1693013751
224,howrah,22.5892,88.3103,27.0,94,100,2.57,IN,1693013694
225,palembang,-2.9167,104.7458,27.05,89,20,1.03,ID,1693013694
226,port alfred,-33.5906,26.891,8.99,80,53,2.68,ZA,1693013756
227,par,50.3539,-4.7109,14.39,90,81,4.05,GB,1693013758
228,tremonton,41.7119,-112.1655,31.54,39,0,1.79,US,1693013759
229,dudinka,69.4058,86.1778,11.46,97,100,6.17,RU,1693013761
230,bambari,5.768,20.6757,21.28,96,99,0.66,CF,1693013762
231,sakaiminato,35.55,133.2333,31.99,62,75,2.06,JP,1693013764
232,port mathurin,-19.6833,63.4167,22.57,72,57,11.37,MU,1693013767
233,el nido,11.1858,119.3956,28.41,79,100,5.23,PH,1693013768
234,point pedro,9.8167,80.2333,28.38,74,94,8.52,LK,1693013771
235,krasnovishersk,60.4078,57.082,6.04,99,100,1.22,RU,1693013772
236,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1693013777
237,dhidhdhoo,6.8833,73.1,27.91,72,85,2.19,MV,1693013779
238,sanming,26.2486,117.6186,29.49,82,99,0.55,CN,1693013780
239,nagqu,31.5,92.0,5.24,87,100,1.36,CN,1693013781
240,carboneras,37.0015,-1.9213,26.29,51,20,0.36,ES,1693013782
241,freetown,8.484,-13.2299,26.84,89,40,4.12,SL,1693013783
242,behompy,-23.2496,43.8557,20.59,59,0,2.73,MG,1693013785
243,mahibadhoo,3.7833,72.9667,28.21,73,35,3.29,MV,1693013786
244,mytilene,39.11,26.5547,22.9,60,39,4.37,GR,1693013788
245,longyearbyen,78.2186,15.6401,5.91,87,40,1.03,SJ,1693013789
246,floro,61.5996,5.0328,14.04,88,20,2.57,NO,1693013791
247,fortaleza,-3.7227,-38.5247,27.07,78,75,5.66,BR,1693013793
248,gamba,-2.65,10.0,21.99,95,72,1.38,GA,1693013794
249,badger,64.8,-147.5333,19.14,68,75,4.63,US,1693013795
250,qa'en,33.7265,59.1844,18.79,32,0,1.71,IR,1693013796
251,keflavik,64.0049,-22.5624,12.95,100,100,9.26,IS,1693013797
252,vernon,50.2581,-119.2691,24.74,43,100,0.51,CA,1693013798
253,samthar,25.85,78.9167,26.3,72,97,4.51,IN,1693013751
254,prince rupert,54.3161,-130.3201,17.83,84,0,8.23,CA,1693013801
255,kirkuk,35.4681,44.3922,29.16,19,0,1.6,IQ,1693013802
256,anna regina,7.2644,-58.5077,27.49,79,17,3.13,GY,1693013803
257,minas de marcona,-15.2119,-75.1103,12.45,85,45,6.17,PE,1693013804
258,pacasmayo,-7.4006,-79.5714,19.4,87,25,5.39,PE,1693013805
259,kitui,-1.367,38.0106,16.11,89,85,2.96,KE,1693013807
260,codrington,-38.2667,141.9667,12.9,63,42,3.54,AU,1693013808
261,selfoss,63.9331,-20.9971,12.8,96,100,4.04,IS,1693013809
262,machagai,-26.9261,-60.0496,13.59,42,1,3.01,AR,1693013810
263,college,64.8569,-147.8028,19.18,70,75,4.63,US,1693013812
264,kiunga,-6.1219,141.2906,24.65,82,100,2.32,PG,1693013813
265,khandyga,62.6667,135.6,15.8,56,99,1.06,RU,1693013814
266,dawesville,30.9224,-84.0091,30.65,70,40,2.57,US,1693013816
267,tazovsky,67.4667,78.7,9.95,73,100,2.87,RU,1693013817
268,ust-nera,64.5667,143.2,13.77,51,34,2.33,RU,1693013819
269,san carlos,9.6612,-68.5827,24.54,93,100,0.8,VE,1693013821
270,yen vinh,18.6667,105.6667,31.01,63,99,2.29,VN,1693013739
271,touros,-5.1989,-35.4608,23.35,85,0,4.27,BR,1693013824
272,cabedelo,-6.9811,-34.8339,23.37,80,80,2.04,BR,1693013825
273,gaiman,-43.2897,-65.4929,7.16,50,13,4.85,AR,1693013826
274,tionk essil,12.7856,-16.5217,25.03,92,100,2.26,SN,1693013827
275,porto novo,6.4965,2.6036,24.22,93,47,3.2,BJ,1693013828
276,winnemucca,40.973,-117.7357,32.03,22,40,6.17,US,1693013829
277,maceio,-9.6658,-35.7353,21.69,100,0,1.54,BR,1693013831
278,ust-tsilma,65.441,52.1498,6.7,82,100,3.56,RU,1693013832
279,forster,-32.1667,152.5167,19.65,64,33,3.09,AU,1693013833
280,happy valley-goose bay,53.3168,-60.3315,18.17,59,75,4.63,CA,1693013834
281,rozhyshche,50.9154,25.2691,20.2,89,57,3.01,UA,1693013836
282,nuku'alofa,-21.1333,-175.2,24.19,73,20,5.14,TO,1693013837
283,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,1693013838
284,chapaev,50.2,51.1667,12.53,51,35,4.04,KZ,1693013840
285,canutama,-6.5339,-64.3831,27.4,50,5,0.78,BR,1693013841
286,boerne,29.7947,-98.732,35.53,40,0,0.45,US,1693013842
287,livingston,55.9029,-3.5226,11.18,93,0,0.51,GB,1693013844
288,santana,-0.0583,-51.1817,29.1,74,40,4.12,BR,1693013845
289,maputo,-25.9653,32.5892,24.54,40,100,5.87,MZ,1693013846
290,lodja,-3.4833,23.4333,20.73,91,100,0.53,CD,1693013847
291,panacan,9.2463,118.4082,29.32,69,100,2.18,PH,1693013848
292,gadzhiyevo,69.2551,33.3362,8.69,81,100,4.32,RU,1693013849
293,puerto ayora,-0.7393,-90.3518,24.19,95,3,2.68,EC,1693013850
294,oranjemund,-28.55,16.4333,11.35,89,12,5.67,NA,1693013851
295,puerto colombia,10.9878,-74.9547,29.05,79,73,5.53,CO,1693013853
296,coroata,-4.13,-44.1242,25.03,80,4,2.87,BR,1693013854
297,revda,56.801,59.9303,6.79,94,100,3.25,RU,1693013856
298,demyansk,57.643,32.466,12.79,97,100,2.03,RU,1693013858
299,argostolion,38.1811,20.489,25.41,72,9,1.59,GR,1693013859
300,cobija,-11.0267,-68.7692,29.35,41,82,1.35,BO,1693013860
301,alpena,45.0617,-83.4327,19.18,94,20,1.54,US,1693013862
302,atafu village,-8.5421,-172.5159,28.1,78,100,5.08,TK,1693013863
303,krasnyy yar,46.5331,48.3456,19.98,58,44,3.64,RU,1693013864
304,tartu,58.3806,26.7251,16.14,83,75,1.03,EE,1693013865
305,guadalupe y calvo,26.1,-106.9667,15.96,86,100,0.17,MX,1693013867
306,tshela,-4.9833,12.9333,21.12,93,96,0.62,CD,1693013868
307,new ulm,44.3125,-94.4605,26.21,56,0,5.14,US,1693013869
308,sao gabriel da cachoeira,-0.1303,-67.0892,25.03,75,2,0.73,BR,1693013870
309,mananara,-16.1667,49.7667,20.35,94,68,1.24,MG,1693013871
310,tual,-5.6667,132.75,25.19,86,7,9.26,ID,1693013873
311,tazacorte,28.629,-17.9293,27.3,62,0,3.09,ES,1693013874
312,ihosy,-22.4,46.1167,16.26,87,68,3.66,MG,1693013700
313,karratha,-20.7377,116.8463,26.95,16,0,9.28,AU,1693013876
314,nanao,37.05,136.9667,36.29,59,1,2.57,JP,1693013616
315,kikwit,-5.041,18.8162,23.87,77,85,0.79,CD,1693013878
316,miechow,50.3565,20.0279,22.86,75,96,2.4,PL,1693013879
317,guajara,-2.9667,-57.6667,27.38,46,25,0.77,BR,1693013881
318,finale ligure,44.1695,8.3436,27.17,84,50,1.34,IT,1693013882
319,imbituba,-28.24,-48.6703,11.56,78,24,3.76,BR,1693013883
320,vila do maio,15.1333,-23.2167,27.44,76,100,1.28,CV,1693013884
321,celestun,20.8667,-90.4,27.36,79,79,4.43,MX,1693013885
322,nuriootpa,-34.4833,139.0,17.99,40,18,3.24,AU,1693013887
323,akureyri,65.6835,-18.0878,17.96,42,0,4.12,IS,1693013888
324,hamilton,39.1834,-84.5333,27.62,80,0,5.14,US,1693013889
325,gizo,-8.103,156.8419,25.32,90,100,7.1,SB,1693013890
326,naze,28.3667,129.4833,27.51,75,43,4.27,JP,1693013648
327,alice springs,-23.7,133.8833,21.75,15,0,6.17,AU,1693013892
328,fale old settlement,-9.3852,-171.2468,28.01,79,55,5.89,TK,1693013894
329,lihue,21.9789,-159.3672,30.77,63,0,6.69,US,1693013895
330,gallup,35.5281,-108.7426,27.91,30,0,3.09,US,1693013705
331,vadso,70.0744,29.7487,9.49,87,100,2.57,NO,1693013897
332,beira,-19.8436,34.8389,18.05,100,0,3.09,MZ,1693013697
333,maracacume,-2.0428,-45.9592,22.71,93,4,1.5,BR,1693013900
334,island harbour,50.724,-1.2758,14.99,93,85,0.45,GB,1693013901
335,mount gambier,-37.8333,140.7667,13.16,58,61,2.86,AU,1693013902
336,garh maharaja,30.8339,71.9053,31.72,44,4,3.43,PK,1693013903
337,portland,45.5234,-122.6762,33.99,31,20,3.6,US,1693013904
338,cold lake,54.4502,-110.2017,19.97,68,0,2.57,CA,1693013907
339,maintirano,-18.0667,44.0167,23.64,77,81,1.82,MG,1693013908
340,buka,40.8108,69.1986,23.03,33,0,1.41,UZ,1693013909
341,scottburgh,-30.2867,30.7532,16.78,81,3,3.63,ZA,1693013911
342,concepcion,-36.827,-73.0498,7.89,81,7,2.06,CL,1693013912
343,tommot,58.9564,126.2925,16.94,51,0,1.26,RU,1693013914
344,inarajan village,13.2736,144.7484,32.08,83,100,9.93,GU,1693013915
345,buenavista,8.9769,125.4089,30.42,67,98,1.63,PH,1693013916
346,walvis bay,-22.9575,14.5053,10.61,93,50,2.57,NA,1693013919
347,kourou,5.1552,-52.6478,26.03,84,4,3.75,GF,1693013920
348,bangjun,39.9911,117.2628,22.57,81,100,1.96,CN,1693013922
349,thinadhoo,0.5333,72.9333,28.08,74,45,2.78,MV,1693013923
350,fort-shevchenko,44.5086,50.263,24.79,57,9,6.2,KZ,1693013925
351,posto fiscal rolim de moura,-13.0833,-62.2667,27.81,53,84,0.49,BR,1693013926
352,onega,63.9061,38.1404,8.55,83,92,1.98,RU,1693013927
353,sabrum,23.0,91.7319,24.72,99,100,1.8,IN,1693013928
354,mount pearl,47.5166,-52.7813,13.18,93,40,3.6,CA,1693013929
355,umm kaddadah,13.6017,26.6876,31.12,46,92,4.41,SD,1693013931
356,santo domingo de la calzada,42.4285,-2.9555,15.81,85,87,0.54,ES,1693013932
357,kismayo,-0.3582,42.5454,24.77,84,25,6.68,SO,1693013933
358,mana,5.6592,-53.7767,26.12,87,18,4.26,GF,1693013934
359,punta arenas,-53.15,-70.9167,2.4,86,97,3.79,CL,1693013935
360,tolanaro,-25.0319,46.9987,22.04,73,20,7.2,MG,1693013936
361,new plymouth,-39.0667,174.0833,10.73,74,10,2.54,NZ,1693013846
362,holbrook,40.8123,-73.0784,23.02,93,100,4.12,US,1693013939
363,nabire,-3.3667,135.4833,29.61,66,100,1.65,ID,1693013539
364,virginia beach,36.8529,-75.978,29.45,80,75,3.6,US,1693013941
